LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
50001,2026-01-15,20:52:01,INFO,InventoryDB,User u6312 logged in successfully,E101,User {user} logged in successfully
50002,2026-01-15,20:52:01,INFO,AuthService,User u2375 logged in successfully,E101,User {user} logged in successfully
50003,2026-01-15,20:52:01,INFO,PaymentGateway,User u7589 logged in successfully,E101,User {user} logged in successfully
50004,2026-01-15,20:52:01,INFO,WebServer,Request processed in 1281ms,E102,Request processed in {time}ms
50005,2026-01-15,20:52:01,INFO,InventoryDB,User u7539 logged in successfully,E101,User {user} logged in successfully
50006,2026-01-15,20:52:01,INFO,PaymentGateway,User u4674 logged in successfully,E101,User {user} logged in successfully
50007,2026-01-15,20:52:01,INFO,WebServer,Request processed in 274ms,E102,Request processed in {time}ms
50008,2026-01-15,20:52:02,WARN,InventoryDB,Connection pool reaching capacity (474/500),E204,Connection pool reaching capacity ({count}/500)
50009,2026-01-15,20:52:02,WARN,OrderProcessor,High latency: 814ms detected for DB query,E202,High latency: {time}ms detected for DB query
50010,2026-01-15,20:52:02,INFO,PaymentGateway,Request processed in 701ms,E102,Request processed in {time}ms
50011,2026-01-15,20:52:02,INFO,PaymentGateway,Request processed in 1772ms,E102,Request processed in {time}ms
50012,2026-01-15,20:52:02,INFO,WebServer,Cache refreshed for Catalog,E105,Cache refreshed for {module}
50013,2026-01-15,20:52:02,INFO,InventoryDB,Request processed in 2305ms,E102,Request processed in {time}ms
50014,2026-01-15,20:52:02,INFO,PaymentGateway,Request processed in 182ms,E102,Request processed in {time}ms
50015,2026-01-15,20:52:02,INFO,OrderProcessor,Cache refreshed for Catalog,E105,Cache refreshed for {module}
50016,2026-01-15,20:52:02,INFO,InventoryDB,Cache refreshed for Catalog,E105,Cache refreshed for {module}
50017,2026-01-15,20:52:02,INFO,PaymentGateway,Request processed in 708ms,E102,Request processed in {time}ms
50018,2026-01-15,20:52:02,INFO,PaymentGateway,Cache refreshed for Catalog,E105,Cache refreshed for {module}
